昵称,性别,时间,点赞量,评论,IP属地,二级评论条数,等级,uid,rpid
半橙橙橙橙,保密,2024-02-01 19:52:12 北京时间,10,"“她教我研习剑技，却始终未能与我亲近一些。但无边的夜色中，哪有比始终当空的明月，更亲近人的存在呢？ ”,在无边夜色中，无尽生命里，数不尽的战事，道不尽的离别。好像只有那轮明月始终当空守望，守望着仙舟，照亮着他前行。月虽然清冷，但也足以配上一壶酒，一盘棋，一箜篌。可是，那月，那皎洁的，本该永远如此的月，为什么就落下了呢？,或许没关系，至少对于仙舟来说,于夜色中，在拂晓前；月亮落下，便是太阳。",福建,0,5,1769661564,205958368400
ubuntu-第二次,保密,2023-05-21 13:44:28 北京时间,31,"景元，景元，将军…,愿你无论何时都能平安快乐，身边人花团锦簇",北京,1,6,513333844,166325112544
鲁西欧,保密,2023-05-22 06:49:16 北京时间,10,再见了，师傅,广西,0,6,21851003,166422631968
奋斗的四眼,保密,2023-05-21 14:36:05 北京时间,12,总有一天彦卿也要亲手终结景元吧？[大哭],广东,6,5,2138778376,166334535552
观星即是观心,保密,2023-05-21 13:47:52 北京时间,12,"飞光飞光，劝尔一杯酒。,吾不识青天高，黄地厚。,唯见月寒日暖，来煎人寿。,食熊则肥，食蛙则瘦。,神君何在？太一安有？,天东有若木，下置衔烛龙。,吾将斩龙足，嚼龙肉，使之朝不得回，夜不得伏。,自然老者不死，少者不哭。,何为服黄金、吞白玉？,谁似任公子，云中骑碧驴？,刘彻茂陵多滞骨，嬴政梓棺费鲍鱼。",广东,0,5,396618460,166325672048
小气猫Milosea,保密,2023-05-22 18:20:47 北京时间,4,看完弹幕感觉得补点说明[doge]景元角色故事二提到鲜有云骑将军履任后撑过百年大关，结合上下文看应该是指英勇战死，而景元因为运筹帷幄所以数百年来安然无恙，和堕入魔阴身没啥关系,山东,1,6,332095530,166513648080
愚者教堂普通职员阿魈,女,2023-05-22 02:30:40 北京时间,18,“昔日仇敌或死或擒，故交好友风流云散。这么想来，我确确实实已是个【老人】了......”景元和钟离在这一点上真的很像，景元有即将到来的魔阴身作为终点，而钟离的磨损可能还要等好几千年吧[大哭]喜欢的长命男人一个比一个刀（又看了看远方的张起灵和哑舍老板）,浙江,0,6,38984060,166389681296
樾屿,女,2023-10-29 08:39:53 北京时间,8,昔日仇敌或死或擒，故交好友风流云散……,黑龙江,0,5,88156108,192092156720
赜木蛟,男,2023-05-23 10:50:44 北京时间,8,讲一个鬼故事，自己的师父和自己的徒弟都是冰系的[doge],英国,0,6,10713232,166597931424
超级糖逗人,保密,2023-05-22 04:01:23 北京时间,10,如果罗刹棺材里是师傅，而且失意被灌输自己被谋权篡位的记忆回来与景元对峙，仙民会相信谁呢[doge],江苏,4,6,366130114,166400316464
冬乌www,女,2023-05-21 16:09:45 北京时间,7,来了来了[喜欢][喜欢]真的好米啊啊啊啊夸夸up主，那天我在神策府里打扫杂草，偶遇景元将军。将军问我我簸箕里的东西是什么，我坚定的说：“将军大人，草窝！”[桃源_给花花][桃源_给花花][桃源_给花花],广东,2,6,386025998,166351556048
雷啸东方,男,2023-05-21 13:11:34 北京时间,7,"暗猫猫赛高！,分镜做的很好，兼具历史厚重感的同时也有生动的叙事性，再搭配上音乐真的太强辣！,献上膝盖！[哦呼][哦呼][哦呼]",河南,0,5,1540810272,166319851536
how2tellu,男,2023-05-21 12:57:30 北京时间,7,"景元元：帮帮我，神霄雷府总司驱雷掣电追魔扫秽天君。,神君:离开帝弓七天将巡猎令使闭目神策将军景元元。",安徽,0,5,628576148,166317512960
左拥魈宝右抱万叶,女,2023-05-21 16:53:34 北京时间,3,放个景元的帅照在这里[tv_色],云南,0,5,272503735,166357324000
咸鱼的cp是假的,女,2024-04-16 06:00:02 北京时间,6,希望接下来仙舟剧情，编剧能讲好师徒线[大哭],江苏,0,6,85253795,217122995440
莉莉娅没你我怎么活啊,保密,2023-05-22 04:49:37 北京时间,6,突然联想到罗刹的棺材，装的不会是镜流吧？镜流其实没死，但有时清醒有时不清醒，所以委托罗刹把她带回仙舟[微笑][微笑][微笑],广西,0,4,509877990,166407946432
谛樱,保密,2023-05-21 15:40:56 北京时间,6,暗猫大佬，是什么让你变成这样的，米忽悠吗？[doge][doge][doge],广东,1,6,289484228,166346889456
柒望啊,保密,2023-05-21 13:04:03 北京时间,6,从小到大都未变的红秋裤[doge][doge][doge],江西,0,5,1045205646,166318529648
541862555,保密,2023-09-28 16:21:12 北京时间,8,她的样貌，她的名字，她的剑术风格都与比过去别无二致。但她已经死了，她已不再是那个剑首，现在活着的只是“镜流”，一个因仇恨而生怪物……,广东,0,5,483312501,187887098816
